year,category,state,pledge_total,pledge_avg,goal_total,goal_avg,count,backers
2013,Theater,canceled,382188,6265.377049,2316823.22,37980.70852,61,3311
2013,Theater,failed,767695.09,1687.241956,24546943.08,53949.32545,455,8114
2013,Theater,successful,7301580.22,7504.193443,6414360.18,6592.353731,973,86548
2014,Art,canceled,189942.96,465.5464706,12745394.71,31238.71252,408,2548
2014,Art,failed,1855844.48,668.2911343,201230074.4,72463.11646,2777,23559
2014,Art,successful,12745397.32,7104.457815,8469483.53,4721.005312,1794,149728
2014,Comics,canceled,98310.43,717.5943796,2126354.24,15520.83387,137,2215
2014,Comics,failed,624917.53,1041.529217,126599528.4,210999.214,600,12917
2014,Comics,successful,8990067.32,10910.27587,4625849.51,5613.895036,824,186164
2014,Crafts,canceled,58110.41,356.5055828,2604458.06,15978.27031,163,1203
2014,Crafts,failed,329300.2,260.5223101,12858698.52,10173.02098,1264,6128
2014,Crafts,successful,1646311.85,4473.673505,943599.68,2564.129565,368,28699
2014,Dance,canceled,9728.82,405.3675,1285031.65,53542.98542,24,153
2014,Dance,failed,187557.4,738.4149606,2838952.01,11176.97642,254,2663
2014,Dance,successful,2564908.1,6165.644471,2261899.05,5437.257332,416,28879
2014,Design,canceled,3608081.18,4843.061987,28298751.08,37984.90078,745,35734
2014,Design,failed,7193672.3,2563.675089,127082296.3,45289.48549,2806,89019
2014,Design,successful,84341142.31,49235.92663,24197515.31,14125.81162,1713,930651
2014,Fashion,canceled,715997.91,1390.287204,21605850.58,41953.10792,515,7809
2014,Fashion,failed,2269010.94,844.1260938,48942062.83,18207.61266,2688,26834
2014,Fashion,successful,19843182.46,19983.06391,9605374.47,9673.086073,993,221948
2014,Film & Video,canceled,1601892.01,1783.844109,112040280.9,124766.4598,898,15468
2014,Film & Video,failed,9313654.13,1811.290185,749923069.9,145842.6818,5142,86117
2014,Film & Video,successful,55749663.54,15087.86564,45436984.59,12296.88352,3695,610889
2014,Food,canceled,430612.95,692.3037781,24541928.15,39456.47613,622,5108
2014,Food,failed,4279968.45,1020.98484,310534799.1,74077.95781,4192,48869
2014,Food,successful,23286163.13,16776.77459,15401957.71,11096.51132,1388,240489
2014,Games,canceled,4363911.74,3889.404403,62062158.98,55313.86718,1122,76785
2014,Games,failed,7477432.99,2684.895149,110501423.2,39677.35125,2785,147275
2014,Games,successful,76117150.43,38481.87585,26280853.41,13286.57907,1978,1332198
2014,Journalism,canceled,16530.84,162.0670588,2052352.06,20121.09863,102,221
2014,Journalism,failed,337245.22,582.4615199,20926919.19,36143.21104,579,4608
2014,Journalism,successful,1469634.15,9301.481962,1077607.76,6820.302278,158,21889
2014,Music,canceled,474968.25,902.9814639,29825267.74,56702.02992,526,4629
2014,Music,failed,2256746.52,664.9223689,77812165.06,22926.38923,3394,32657
2014,Music,successful,27077328.96,8650.903821,21491000.38,6866.134307,3130,359389
2014,Photography,canceled,56009.69,260.510186,2442356.8,11359.79907,215,823
2014,Photography,failed,939976.12,604.8752381,16748926.17,10777.94477,1554,12369
2014,Photography,successful,5932927.05,10966.59344,4313717.78,7973.600333,541,69177
2014,Publishing,canceled,357325.6,537.3317293,55364611.15,83255.05436,665,4994
2014,Publishing,failed,2877005.46,648.8510284,185947224.7,41936.67674,4434,44304
2014,Publishing,successful,18738829.56,9083.29111,12697549.01,6154.895303,2063,317944
2014,Technology,canceled,4109936.31,4628.306655,115068710.7,129581.8814,888,25691
2014,Technology,failed,11663267.36,2983.695922,493911314.4,126352.3444,3909,92287
2014,Technology,successful,105946380.8,94594.98288,32650909.78,29152.59802,1120,848973
2014,Theater,canceled,226276.98,2114.738131,35861071.31,335150.1992,107,2194
2014,Theater,failed,756073.34,1145.565667,24208925.08,36680.18952,660,8616
2014,Theater,successful,7437275.7,7284.305289,6524250.56,6390.059314,1021,81963
2015,Art,canceled,226374.72,441.2762573,26898115.38,52432.97345,513,3211
2015,Art,failed,1583099.04,514.8289561,283926044.5,92333.67301,3075,19162
2015,Art,successful,13704526.72,7930.86037,8259655.91,4779.893466,1728,167150
2015,Comics,canceled,138915.41,857.5025309,2475340.29,15279.87833,162,3234
2015,Comics,failed,790559.67,1049.88004,11879245.1,15775.88991,753,15769
2015,Comics,successful,12075234,12123.72892,5838801.65,5862.250653,996,226594
2015,Crafts,canceled,45566.81,178.6933725,4058530.63,15915.80639,255,711
2015,Crafts,failed,511280.4,288.37022,31973416.17,18033.51166,1773,9321
2015,Crafts,successful,2758673.91,5315.363988,1603321.4,3089.251252,519,43669
2015,Dance,canceled,32158.91,803.97275,678782.6,16969.565,40,231
2015,Dance,failed,123267.21,440.2400357,6429225.59,22961.51996,280,1906
2015,Dance,successful,1580088.18,5356.231119,1417616.16,4805.478508,295,20842
2015,Design,canceled,3044727.34,3327.570863,144662621.8,158101.226,915,28226
2015,Design,failed,9690535.97,2664.431116,267469353.8,73541.20258,3637,98882
2015,Design,successful,146788813.2,72667.72931,32169907.07,15925.69657,2020,1249236
2015,Fashion,canceled,582745.18,923.5264342,13914659.78,22051.75876,631,5585
2015,Fashion,failed,2336491.38,672.1781876,181330733.5,52166.49411,3476,25710
2015,Fashion,successful,24344273.11,22730.41373,11336976.71,10585.41243,1071,255482
2015,Film & Video,canceled,1727161.68,1605.168848,229659008.3,213437.74,1076,16513
2015,Film & Video,failed,7811187.05,1389.643667,1168519353,207884.6029,5621,64809
